"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5944","prendre commande","firefox","2026-02-23","passed","2026-02-23","","shopping.spec.ts","",""
"","4683","prendre commande","chromium","2026-02-23","passed","2026-02-23","","shopping.spec.ts","",""
